condition,rep,seed,inherit_prob,overlay_kind,overlay_strength,overlay_error,overlay_corr,mi_thr,stab_window,t_cross,t_stab,dwell,n_innov,fitness_final,mi_final,delta_fitness,delta_mi,t_fit,lag_fit_minus_stab
TAC_s0.5,22,2775193360,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.234375,0.37062056041859837,1.3585937499999972,0.10824108507613006,,
TAC_s0.5,23,2775193361,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.09375,0.37643911738520874,1.9226562500000028,0.12111503677849367,109.0,105.0
TAC_s0.5,24,2775193362,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.1484375,0.3937141003380499,-0.25859375000000284,0.1314052643347443,68.0,64.0
TAC_s0.5,25,2775193363,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.98828125,0.3713254141982707,0.8835937500000028,0.11667302578606153,,
TAC_s0.5,26,2775193364,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,33.87734375,0.3846586678028161,1.02734375,0.12771498014088922,,
TAC_s0.5,27,2775193365,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,32.5515625,0.3582944074643786,-0.40234375,0.0966003613652231,,
TAC_s0.5,28,2775193366,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.28984375,0.394674446759088,0.5882812500000014,0.129534825473266,,
TAC_s0.5,29,2775193367,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.1765625,0.36892707297443894,0.9773437500000028,0.10326767804777814,,
TAC_s0.75,0,996633376,0.8,TAC,0.75,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.7421875,0.46570930877480865,2.0953124999999986,0.20550024998253735,41.0,37.0
TAC_s0.75,1,996633377,0.8,TAC,0.75,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,35.19140625,0.4096417773838642,1.9710937500000014,0.14456193957024532,53.0,50.0
TAC_s0.75,2,996633378,0.8,TAC,0.75,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,33.68984375,0.43721660067049967,0.30156250000000284,0.17669820126336372,50.0,47.0
